TerminalID,LocationAddress,Latitude,Longitude,RatePackageID,RatePackageDescription,FullRate,POS,NumberOfSpaces,CLZTerminal,Availability,unavailable,objectID
293303,10 N PULASKI RD,41.8811044,-87.7256892,416012007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS, RH1: Mon-Fri 7 AM-9 AM",2.5,2,6,0,3,FALSE,11549952000
259410,10 S DESPLAINES ST,41.8811853,-87.6441051,431000007,"$4.75, Mon-Sun 8 AM-10 PM, 3 hr POS",4.75,3,9,0,3,FALSE,11547986000
744312,10 S Peoria St,41.88152,-87.65004,430000007,"$4.75, Mon-Sat 8 AM-10 PM, 3 hr POS",4.75,3,11,0,3,FALSE,11549397000
746304,10 S Throop St,41.88149,-87.65969,429000007,"$4.75, Mon-Sat 8 AM-10 PM, 2 hr POS",4.75,2,1,0,1,FALSE,11549401000
231408,10 W HUBBARD ST,41.8900748,-87.6288085,933000007,"$4.75, Mon-Sun 8 AM-11 PM, 2 hr POS",4.75,2,5,0,1,FALSE,11546460000
329406,10 W POLK ST,41.8723116,-87.6279348,992000007,"$4.75, Mon-Sat 10 AM-5 PM, 3 hr POS",4.75,3,3,0,1,FALSE,11546428000
731301,1002 W WASHINGTON BLVD,41.8830679,-87.6525159,429000007,"$4.75, Mon-Sat 8 AM-10 PM, 2 hr POS",4.75,2,9,0,3,FALSE,11548829000
343405,1003 S STATE ST,41.8698032,-87.6273983,431012007,"$4.75, Mon-Sun 8 AM-10 PM, 3 hr POS, RH1: Mon-Fri 7 AM-9 AM",4.75,3,14,0,3,FALSE,11550262000
609206,1004 W ROSCOE ST,41.9435846,-87.6544632,424000007,"$2.50, Mon-Sat 9 AM-6 PM, 4 hr POS",2.5,4,5,0,3,FALSE,11550734000
922107,1005 W DAKIN ST,41.9534854,-87.6547606,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,3,0,2,FALSE,11549362000
380609,1007 E 53RD ST,41.7993798,-87.6007848,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,7,0,3,FALSE,11546591000
638422,1007 N HALSTED ST,41.9001623,-87.6479387,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,9,0,3,FALSE,11548251000
609207,1007 W ROSCOE ST,41.9435562,-87.6544886,424000007,"$2.50, Mon-Sat 9 AM-6 PM, 4 hr POS",2.5,4,4,0,3,FALSE,11550735000
380608,1008 E 53RD ST,41.7994048,-87.6011703,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,6,0,3,FALSE,11546590000
925205,1008 W CORNELIA AVE,41.9455168,-87.6554254,415000007,"$2.50, Mon-Sat 8 AM-10 PM, 2 hr POS",2.5,2,3,0,1,FALSE,11550309000
760302,1008 W Fulton Market St,41.886769,-87.6527554,928000007,"$4.75, Mon-Sun 8 AM-11:59 PM, 2 hr POS",4.75,2,6,0,1,FALSE,11550564000
258304,1008 W MADISON ST,41.8817095,-87.6525662,429000007,Inactive,4.75,2,6,0,0,FALSE,11547545000
